epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13143.6,1.26098,1.05784,1.29155,0.73801,0.67397,0.74107,0.44397,1.44865,1.21039,1.45626,0.0011882,0.0011882,0.0011882
43,13447.7,1.21885,1.05179,1.28415,0.74619,0.69386,0.74782,0.44037,1.42804,1.24171,1.3863,0.0011684,0.0011684,0.0011684
44,13746.9,1.24047,1.09693,1.29171,0.73876,0.6399,0.71617,0.42162,1.47739,1.32324,1.43069,0.0011486,0.0011486,0.0011486
45,14050.2,1.2206,1.04894,1.28117,0.71591,0.69286,0.74564,0.42526,1.51942,1.21206,1.47876,0.0011288,0.0011288,0.0011288
46,14350,1.22191,1.09505,1.27695,0.74174,0.62774,0.70749,0.41109,1.48695,1.28918,1.44212,0.001109,0.001109,0.001109
47,14653.5,1.22204,1.0055,1.26754,0.70135,0.68856,0.72746,0.42511,1.4697,1.27481,1.44792,0.0010892,0.0010892,0.0010892
48,14957.1,1.19561,1.00947,1.29745,0.80924,0.63993,0.74305,0.44843,1.50319,1.23563,1.4533,0.0010694,0.0010694,0.0010694
49,15254.6,1.17146,0.99584,1.25978,0.72063,0.71046,0.7581,0.45738,1.44539,1.1598,1.41707,0.0010496,0.0010496,0.0010496
50,15558.1,1.19814,1.00616,1.24659,0.72028,0.691,0.76186,0.45836,1.47997,1.21839,1.45065,0.0010298,0.0010298,0.0010298
51,15862.4,1.19027,0.97458,1.25335,0.71765,0.70316,0.77042,0.45644,1.45398,1.13982,1.43604,0.00101,0.00101,0.00101
52,16166.8,1.12056,0.90889,1.20687,0.7597,0.72304,0.78614,0.46143,1.51828,1.12255,1.493,0.0009902,0.0009902,0.0009902
53,16477.8,1.12747,0.92739,1.21845,0.78484,0.6983,0.78044,0.47597,1.4087,1.09601,1.38804,0.0009704,0.0009704,0.0009704
54,16783.5,1.14255,0.92776,1.22546,0.76603,0.67712,0.76967,0.45795,1.44243,1.09516,1.40625,0.0009506,0.0009506,0.0009506
